,Model,Validation Accuracy,Validation F1 Score,Training Accuracy,Training F1 Score
0,model_own,0.29770992366412213,0.21111031825317536,0.7492216246815737,0.7507701929275727
1,model_simple,0.15521628498727735,0.11575780910400003,0.7885649589583923,0.8069109198348291
2,model_deep_wide,0.3435114503816794,0.26221655759699236,0.8460232097367676,0.8505307522203941
3,model_vgg,0.13486005089058525,0.055122349389715115,0.09765072176620436,0.0609115907900904
